id,Weekly_Sales
1,1293338.9066254518
2,1306484.2725702804
3,1368044.9202844976
4,1018777.6509772887
5,1309744.5635744242
6,1381074.815641298
7,1257771.1549566844
8,739808.5710015348
9,1294724.6545585822
10,1284070.0514570738
11,952917.7789714829
12,967338.5647370663
13,1176847.4820787166
14,1177101.9661810666
15,1384801.4559919697
16,1132044.6235968196
17,1139693.3534459216
18,1050754.973376465
19,1034861.6801195351
20,981344.0891838439
21,1206216.652322598
22,878227.412466912
23,997419.9334436251
24,968108.3525506633
25,1093941.5929464058
26,991657.0674943005
27,1220340.2915407273
28,940050.5674271451
29,987924.9918233908
30,1193505.0186906222
31,1023182.7178904067
32,811463.4958727582
33,1127618.274846156
34,1105816.838587958
35,922387.5158291106
36,1154488.705023782
37,1243433.3230323105
38,1379286.781897042
39,1224031.7356647674
40,1246587.9184542492
41,1241301.6886640862
42,1246552.1024825978
43,1341117.3360979278
44,915368.0374893968
45,1658782.163988939
46,1566301.9898567523
47,1450341.3094367862
48,799094.4668305584
49,1228646.3388835774
50,1259661.2930327968
51,1299961.4832019538
52,813619.3505601188
53,1076351.0830563346
54,1252264.412390762
55,1407820.3625126022
56,923844.3766699928
57,1165915.4189392496
58,979637.298625731
59,1188196.8322553623
60,1107969.6194117984
61,1006888.156119317
62,1074420.649392969
63,822584.5042595887
64,910303.7882100879
65,1007327.796993589
66,1116061.8617094208
67,945410.680798727
68,662774.8205327312
69,890953.3390742384
70,1200147.791230653
71,1182840.8671416591
72,558637.1490176711
73,929048.2983115851
74,1109907.91661275
75,1175126.3566179806
76,942936.0775038374
77,924260.8975431042
78,1168839.6879447992
79,1202278.2478313392
80,884994.4577524473
81,1393029.9455691576
82,1416984.691531246
83,1193239.1442525843
84,903291.5501064012
85,1175081.8946427752
86,1198525.9604382957
87,1252989.7250087422
88,686591.3706163393
89,1223834.8006306367
90,1099953.782009541
91,1195746.8340116313
92,720871.3751528182
93,1097573.5300898605
94,1004233.0677624206
95,1180502.5142417846
96,679327.0300766362
97,1081174.897149234
98,1149772.6354019537
99,1097369.866505038
100,797526.0191373503
101,1164203.7594055953
102,1054079.9560298687
103,1031130.17327047
104,752670.3357111517
105,958987.996756704
106,1037593.5427016977
107,1045009.6062485328
108,716537.8265952148
109,1060494.5016396472
110,956606.5841177083
111,972570.6600760926
112,773662.6252839027
113,1020415.0822395608
114,962045.2865604649
115,1121567.2792173098
116,852428.5442367487
117,979130.9447684477
118,1017761.8785178539
119,787803.2518285739
120,978066.0062488083
121,837736.7898365736
122,866486.2087277074
123,938778.9476297803
124,641603.924400452
125,763411.0093485466
126,954771.7523716959
127,905797.2689237974
128,611318.4700764511
129,529077.4651592793
130,703305.6542386648
131,748962.4561729868
132,649866.0513941437
133,844528.2080031172
134,777388.5105164635
135,689800.851757482
136,584505.0521335064
137,840987.0576468605
138,741372.6546924012
139,737927.9593428143
140,562832.884225895
141,741561.9719239172
142,734867.9563973433
143,561164.1085110545
144,662834.7498993931
145,774502.3554732002
146,775443.0927908096
147,610798.6103847977
148,679340.293983977
149,849390.5165753119
150,805489.9452161622
151,793300.6094596247
152,740016.376383083
153,968281.7109563587
154,997283.0238213175
155,887971.8413426689
156,743539.1281364626
157,1009877.2828136809
158,971937.3426838153
159,924593.2173359271
160,548280.8545443676
161,852242.6306680077
162,843796.9100207558
163,905021.8150262547
164,618724.8976205749
165,571850.1764631594
166,628934.1216083704
167,755592.9577414915
168,963786.3961965914
169,715430.743180985
170,699788.685777257
171,718668.6637646995
172,811434.1308625356
173,696191.223747132
174,730180.0551500275
175,698726.693893716
176,761598.3328933452
177,573466.8795713385
178,620762.8153398418
179,542175.6190206893
180,538968.6004763844
