id,Weekly_Sales
1,1524566.6
2,1502972.8
3,1502972.8
4,1515133.5
5,1796179.4
6,1777414.6
7,1786538.5
8,1816469.8
9,384234.25
10,380292.03
11,381633.84
12,382247.62
13,2148605.8
14,2147331.2
15,2199861.0
16,2346696.8
17,299174.7
18,301415.75
19,301415.75
20,304821.03
21,1416103.2
22,1400874.8
23,1399546.0
24,1440415.5
25,525557.1
26,545075.94
27,563194.44
28,556622.94
29,899215.7
30,880952.0
31,887559.25
32,906315.6
33,550176.0
34,544481.2
35,547183.06
36,552425.0
37,1763161.8
38,1720425.8
39,1714533.0
40,1756966.9
41,1332243.1
42,1305880.6
43,1308808.5
44,1356390.5
45,962633.9
46,969142.0
47,963787.4
48,1030640.1
49,1946548.8
50,1905400.8
51,1917574.0
52,2045497.2
53,1583388.1
54,1593363.0
55,1583099.0
56,1618781.6
57,544367.9
58,539869.44
59,566919.94
60,598180.9
61,467386.88
62,478430.66
63,536284.06
64,530329.0
65,935055.1
66,888361.56
67,884410.06
68,972898.0
69,971667.94
70,968082.1
71,988858.94
72,1062960.6
73,1363925.0
74,1323986.9
75,1317193.5
76,1370638.6
77,2013473.0
78,2037746.6
79,2003941.1
80,2107117.0
81,642633.7
82,642772.75
83,672033.3
84,686164.8
85,963357.2
86,949619.94
87,949586.44
88,1085901.5
89,1386332.8
90,1365671.6
91,1372663.2
92,1516795.4
93,1289881.8
94,1284553.5
95,1259655.5
96,1335427.2
97,675363.4
98,660160.2
99,679120.8
100,736850.06
101,1055203.8
102,987584.8
103,969743.7
104,1022593.25
105,1617181.5
106,1613479.4
107,1609099.5
108,1644348.0
109,1339703.9
110,1220990.6
111,1213464.9
112,1179599.1
113,495538.22
114,485988.8
115,492406.1
116,501498.72
117,413304.8
118,416438.22
119,421685.34
120,422839.47
121,1383272.6
122,1382627.0
123,1374798.4
124,1354149.8
125,1157096.5
126,1153699.1
127,1157826.9
128,1250389.6
129,272646.94
130,273603.53
131,257034.83
132,253362.86
133,952829.25
134,928034.0
135,950337.94
136,968617.75
137,778614.75
138,784855.75
139,790747.8
140,886913.56
141,318124.1
142,317857.53
143,320380.12
144,309999.47
145,521475.38
146,519731.75
147,520661.34
148,520224.88
149,414253.66
150,399740.4
151,402088.97
152,401799.62
153,1512940.0
154,1437023.5
155,1459552.2
156,1470619.8
157,987552.75
158,930580.1
159,924032.94
160,1002428.0
161,1361197.9
162,1281996.2
163,1248496.4
164,1318859.2
165,590056.25
166,581396.25
167,531213.8
168,510003.22
169,609040.2
170,597544.2
171,597544.2
172,599638.25
173,318751.44
174,314881.66
175,317373.0
176,318625.3
177,739104.56
178,740507.8
179,774109.7
180,753529.6
