id,Weekly_Sales
1,1036643.4147330523
2,861461.1332794428
3,695514.8467485905
4,724376.1486428976
5,960202.8533421755
6,1055913.067209363
7,859044.5819565058
8,1319560.6471366882
9,698257.1501060724
10,637864.3281438351
11,723182.5772651434
12,600584.8853735924
13,1298346.5831177235
14,1178983.8937085867
15,1157031.148502946
16,1144801.819885254
17,775139.5350900888
18,797594.9552612305
19,687917.408087492
20,688583.0036202669
21,1265957.4251631498
22,997757.1233507395
23,825857.7091878653
24,1022645.5333771706
25,750474.5965994596
26,626324.8510016203
27,815703.5198149681
28,762376.7245800495
29,895607.2736473083
30,839924.5442082882
31,812798.7935507298
32,812730.1930266619
33,809658.518563509
34,772193.1876130104
35,774712.5602579117
36,707194.91003263
37,1217920.2072139978
38,1148716.2128355503
39,1069145.7851216793
40,1386927.3407994509
41,1043900.1607861519
42,1135656.3510632515
43,994527.3355045319
44,1183846.4173687696
45,947058.122094512
46,878360.202509284
47,801135.5687596798
48,1531278.4743626118
49,1226992.7170562744
50,1121081.0497071743
51,1022511.150159359
52,1776505.287073493
53,1086022.2951735258
54,992170.959512353
55,918164.0598175526
56,1268521.8088475466
57,819776.5108288527
58,861771.4266213179
59,741830.3169996738
60,1027615.4782295227
61,915247.577354908
62,870765.2900396585
63,776597.6507650614
64,812828.4119437933
65,885750.9658946991
66,862795.7451637983
67,762479.6682567596
68,1059752.7293771505
69,1008202.5755087137
70,875123.7255408764
71,753857.6168421507
72,1037252.6868441105
73,1067343.0138913393
74,981450.4476784468
75,887818.0903975964
76,1012163.9441049099
77,994690.5933822393
78,1114093.138498783
79,979242.0059769154
80,1347642.706875205
81,1059459.261889577
82,917222.1773600578
83,877613.840832591
84,1300709.6679356098
85,999624.8801888227
86,871548.8195092678
87,882481.8770633936
88,1287866.5805186033
89,1119125.0241430998
90,1037445.8550450802
91,907572.2451101542
92,1262539.4666587114
93,1132356.879410386
94,1194544.7994650602
95,1133237.3878759146
96,1428206.6830027103
97,921077.6962044239
98,932629.1615922451
99,940593.6499167681
100,924723.3132277727
101,908171.1403497458
102,998613.9687381983
103,839194.1973688602
104,891762.3963060379
105,1631560.735537529
106,1022253.8641111851
107,891476.3681287766
108,1363764.639199376
109,884669.6009246111
110,920383.9954952002
111,861715.6915826797
112,1005467.7237235308
113,871678.0022941828
114,714508.2230370045
115,747685.6017141342
116,837188.8351339102
117,621896.0888026953
118,709004.961745739
119,623510.0419572592
120,584600.9378839731
121,902322.7599720955
122,1251668.308787346
123,992090.0873063803
124,1468419.8204973936
125,979734.6363888979
126,921437.7606592178
127,849600.9844694138
128,1409006.9728444815
129,744852.5087325573
130,802553.393055439
131,802086.2936718464
132,788625.2782638073
133,700499.7859504223
134,858154.4547576904
135,617493.3309395313
136,608587.4071153402
137,964769.2924785614
138,859427.7790155411
139,784164.6491072178
140,1070326.657212019
141,628768.4311885834
142,621961.8922139406
143,596986.8696914911
144,603872.8114420176
145,642617.0525428057
146,659030.9101874828
147,624901.4333597422
148,623425.1410911083
149,581726.3802293539
150,690718.2647976875
151,685091.347422719
152,634594.6415127516
153,1067664.6875542402
154,1193124.7515791655
155,1051257.631599903
156,1239259.9064120054
157,1063881.6519002914
158,1096253.2312283516
159,920157.9593322277
160,1029527.9063938856
161,1058743.8485082388
162,1195411.6413525343
163,1057542.3840991259
164,1339628.5667380095
165,799737.0364861488
166,831081.0516457558
167,810473.2689169645
168,779021.4321750402
169,579769.083717823
170,526986.9984391928
171,523443.07965910435
172,490388.776486516
173,731769.0920283794
174,735296.4749342203
175,721597.2656056881
176,712072.5119549036
177,888951.414676547
178,819697.6399857998
179,733888.7375006676
180,966397.0335316658
